Year,Round,Region Number,Region Name,Seed 1,Score 1,Team 1,Team 2,Score 2,Seed 2
1997,1,3,Midwest,2,69,Colorado,Marshall,49,15
1997,2,3,Midwest,1,72,Connecticut,Iowa,53,9
1997,2,3,Midwest,5,67,Duke,Illinois,85,4
1997,2,3,Midwest,6,59,Oregon,Tennessee,76,3
1997,2,3,Midwest,7,57,Stephen F Austin,Colorado,66,2
1997,3,3,Midwest,1,78,Connecticut,Illinois,73,4
1997,3,3,Midwest,3,75,Tennessee,Colorado,67,2
1997,4,3,Midwest,1,81,Connecticut,Tennessee,91,3
1997,1,4,West,1,111,Stanford,Howard,59,16
1997,1,4,West,8,47,Texas Tech,Montana,45,9
1997,1,4,West,5,66,Utah,Iowa St,57,12
1997,1,4,West,4,96,Virginia,Troy,74,13
1997,1,4,West,6,74,Vanderbilt,Washington,62,11
1997,1,4,West,3,81,Kansas,Detroit,67,14
1997,1,4,West,7,76,Arizona,Western Kentucky,54,10
1997,1,4,West,2,91,Georgia,Eastern Kentucky,55,15
1997,2,4,West,1,67,Stanford,Texas Tech,45,8
1997,2,4,West,5,46,Utah,Virginia,65,4
1997,2,4,West,6,51,Vanderbilt,Kansas,44,3
1997,2,4,West,7,74,Arizona,Georgia,80,2
1997,3,4,West,1,91,Stanford,Virginia,69,4
1997,3,4,West,6,52,Vanderbilt,Georgia,66,2
1997,4,4,West,1,82,Stanford,Georgia,47,2
1997,5,0,National,6,66,Notre Dame,Tennessee,80,3
1997,5,0,National,1,83,Old Dominion,Stanford,82,1
1997,6,0,National,3,68,Tennessee,Old Dominion,59,1
1998,1,1,East,1,92,Old Dominion,St Francis,39,16
1998,1,1,East,8,59,New Mexico,Nebraska,76,9
1998,1,1,East,5,80,Memphis,Youngstown State,91,12
1998,1,1,East,4,89,NC State,Maine,64,13
1998,1,1,East,6,77,Virginia,SMU,68,11
1998,1,1,East,3,75,Arizona,Santa Clara,63,14
1998,1,1,East,7,72,Georgia,George Washington,74,10
1998,1,1,East,2,93,Connecticut,Fairfield,52,15
1998,2,1,East,1,75,Old Dominion,Nebraska,60,9
1998,2,1,East,12,61,Youngstown State,NC State,88,4
1998,2,1,East,6,77,Virginia,Arizona,94,3
1998,2,1,East,10,67,George Washington,Connecticut,75,2
1998,3,1,East,1,54,Old Dominion,NC State,55,4
1998,3,1,East,3,57,Arizona,Connecticut,74,2
1998,4,1,East,4,60,NC State,Connecticut,52,2
1998,1,2,Mideast,1,102,Tennessee,Liberty,58,16
1998,1,2,Mideast,8,88,Western Kentucky,Stephen F Austin,76,9
1998,1,2,Mideast,5,79,Rutgers,Oregon,76,12
1998,1,2,Mideast,4,79,Iowa St,Kent St,76,13
1998,1,2,Mideast,6,71,Vanderbilt,Santa Barbara,76,11
1998,1,2,Mideast,3,82,Illinois,Wisconsin Green Bay,58,14
1998,1,2,Mideast,7,59,Florida International,Marquette,45,10
1998,1,2,Mideast,2,91,North Carolina,Howard,71,15
1998,2,2,Mideast,1,82,Tennessee,Western Kentucky,62,8
1998,2,2,Mideast,5,62,Rutgers,Iowa St,61,4
1998,2,2,Mideast,11,65,Santa Barbara,Illinois,69,3
1998,2,2,Mideast,7,72,Florida International,North Carolina,85,2
1998,3,2,Mideast,1,92,Tennessee,Rutgers,60,5
1998,3,2,Mideast,3,74,Illinois,North Carolina,80,2
1998,4,2,Mideast,1,76,Tennessee,North Carolina,70,2
1998,1,3,Midwest,1,87,Texas Tech,Grambling,75,16
1998,1,3,Midwest,8,64,Southwest Missouri St,Notre Dame,78,9
1998,1,3,Midwest,5,75,Drake,Colorado St,81,12
1998,1,3,Midwest,4,88,Purdue,Washington,71,13
1998,1,3,Midwest,6,60,Clemson,Miami,49,11
1998,1,3,Midwest,3,86,Louisiana Tech,Holy Cross,58,14
1998,1,3,Midwest,7,65,UCLA,Michigan,58,10
1998,1,3,Midwest,2,94,Alabama,UNC Greensboro,46,15
1998,2,3,Midwest,1,59,Texas Tech,Notre Dame,74,9
1998,2,3,Midwest,12,63,Colorado St,Purdue,77,4
1998,2,3,Midwest,6,52,Clemson,Louisiana Tech,74,3
1998,2,3,Midwest,7,74,UCLA,Alabama,75,2
1998,3,3,Midwest,9,65,Notre Dame,Purdue,70,4
1998,3,3,Midwest,3,71,Louisiana Tech,Alabama,57,2
1998,4,3,Midwest,4,65,Purdue,Louisiana Tech,72,3
1998,1,4,West,1,67,Stanford,Harvard,71,16
1998,1,4,West,8,70,Hawaii,Arkansas,76,9
1998,1,4,West,5,72,Kansas,Tulane,68,12
1998,1,4,West,4,77,Iowa,Massachusetts,59,13
1998,1,4,West,6,64,Wisconsin,Virginia Tech,75,11
1998,1,4,West,3,85,Florida,Montana,64,14
1998,1,4,West,7,61,Utah,Louisville,69,10
1998,1,4,West,2,92,Duke,Middle Tennessee St,67,15
1998,2,4,West,16,64,Harvard,Arkansas,82,9
1998,2,4,West,5,62,Kansas,Iowa,58,4
1998,2,4,West,11,57,Virginia Tech,Florida,89,3
1998,2,4,West,10,53,Louisville,Duke,69,2
1998,3,4,West,9,79,Arkansas,Kansas,63,5
1998,3,4,West,3,58,Florida,Duke,71,2
1998,4,4,West,9,77,Arkansas,Duke,72,2
1998,5,0,National,4,65,NC State,Louisiana Tech,84,3
1998,5,0,National,1,86,Tennessee,Arkansas,58,9
1998,6,0,National,3,75,Louisiana Tech,Tennessee,93,1
1999,1,1,East,1,113,Tennessee,Appalachian St,54,16
1999,1,1,East,8,72,Boston College,Ohio St,59,9
1999,1,1,East,5,69,Auburn,Texas,61,12
1999,1,1,East,4,73,Virginia Tech,St Peters,48,13
1999,1,1,East,6,72,Tulane,St Josephs,83,11
1999,1,1,East,3,79,Duke,Holy Cross,51,14
1999,1,1,East,7,58,Stanford,Maine,60,10
1999,1,1,East,2,74,Old Dominion,Tennessee Tech,48,15
1999,2,1,East,1,89,Tennessee,Boston College,62,8
1999,2,1,East,5,61,Auburn,Virginia Tech,76,4
1999,2,1,East,11,60,St Josephs,Duke,66,3
1999,2,1,East,10,62,Maine,Old Dominion,72,2
1999,3,1,East,1,68,Tennessee,Virginia Tech,52,4
1999,3,1,East,3,76,Duke,Old Dominion,63,2
1999,4,1,East,1,63,Tennessee,Duke,69,3
1999,1,2,Mideast,1,97,Connecticut,St Francis,46,16
1999,1,2,Mideast,8,85,Xavier,Florida International,71,9
1999,1,2,Mideast,5,65,Oregon,Cincinnati,56,12
1999,1,2,Mideast,4,74,Iowa St,Santa Clara,61,13
1999,1,2,Mideast,6,76,Toledo,SMU,91,11
1999,1,2,Mideast,3,73,Georgia,Liberty,52,14
1999,1,2,Mideast,7,69,Illinois,Louisville,67,10
1999,1,2,Mideast,2,76,Clemson,Florida A&M,45,15
1999,2,2,Mideast,1,86,Connecticut,Xavier,84,8
1999,2,2,Mideast,5,70,Oregon,Iowa St,85,4
1999,2,2,Mideast,11,55,SMU,Georgia,68,3
1999,2,2,Mideast,7,51,Illinois,Clemson,63,2
1999,3,2,Mideast,1,58,Connecticut,Iowa St,64,4
1999,3,2,Mideast,3,67,Georgia,Clemson,54,2
1999,4,2,Mideast,4,71,Iowa St,Georgia,89,3
1999,1,3,Midwest,1,68,Purdue,Oral Roberts,48,16
1999,1,3,Midwest,8,58,Marquette,Kansas,64,9
1999,1,3,Midwest,5,80,Alabama,Grambling,68,12
1999,1,3,Midwest,4,64,North Carolina,Northeastern,55,13
1999,1,3,Midwest,6,87,Arizona,Florida,84,11
1999,1,3,Midwest,3,84,Rutgers,Dartmouth,70,14
1999,1,3,Midwest,7,57,Mississippi St,NC State,76,10
1999,1,3,Midwest,2,80,Texas Tech,Stephen F Austin,54,15
1999,2,3,Midwest,1,55,Purdue,Kansas,41,9
1999,2,3,Midwest,5,56,Alabama,North Carolina,70,4
1999,2,3,Midwest,6,47,Arizona,Rutgers,90,3
1999,2,3,Midwest,10,78,NC State,Texas Tech,85,2
1999,3,3,Midwest,1,82,Purdue,North Carolina,59,4
1999,3,3,Midwest,3,53,Rutgers,Texas Tech,42,2
1999,4,3,Midwest,1,75,Purdue,Rutgers,62,3
1999,1,4,West,1,90,Louisiana Tech,Central Florida,48,16
1999,1,4,West,8,82,Penn St,Virginia,69,9
1999,1,4,West,5,61,Notre Dame,St Marys,57,12
1999,1,4,West,4,78,LSU,Evansville,69,13
1999,1,4,West,6,98,Kentucky,Nebraska,92,11
1999,1,4,West,3,76,UCLA,Wisconsin Green Bay,69,14
1999,1,4,West,7,72,Southwest Missouri St,Santa Barbara,70,10
1999,1,4,West,2,71,Colorado St,Cal St Northridge,59,15
1999,2,4,West,1,79,Louisiana Tech,Penn St,62,8
1999,2,4,West,5,64,Notre Dame,LSU,74,4
1999,2,4,West,6,63,Kentucky,UCLA,87,3
1999,2,4,West,7,70,Southwest Missouri St,Colorado St,86,2
1999,3,4,West,1,73,Louisiana Tech,LSU,52,4
1999,3,4,West,3,77,UCLA,Colorado St,68,2
1999,4,4,West,1,88,Louisiana Tech,UCLA,62,3
1999,5,0,National,3,81,Duke,Georgia,69,3
1999,5,0,National,1,77,Purdue,Louisiana Tech,63,1
